timestamp,nbytes,opcode,reg,value,bytes
2026-02-17 20:34:15.784,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:16.299,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:16.800,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:17.288,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:17.790,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:18.294,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:18.798,8,138,35.0,1.0,00 1F 8A 00 23 00 01 81
2026-02-17 20:34:19.303,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:19.809,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:20.298,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:20.799,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:21.329,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:21.828,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:22.323,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:22.826,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:23.329,8,138,36.0,2.0,00 20 8A 00 24 00 02 81
2026-02-17 20:34:23.829,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:24.330,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:24.836,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:25.323,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:25.839,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:26.326,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:34:26.826,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:27.344,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:27.842,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:28.339,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:28.828,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:29.345,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:29.833,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:30.336,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:30.840,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:31.340,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:31.837,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:32.334,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:32.835,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:33.338,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:34:33.832,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:34.344,8,138,42.0,1.0,00 20 8A 00 2A 00 01 81
2026-02-17 20:34:34.837,6,138,,,00 20 8A 23 01 81
2026-02-17 20:34:35.349,8,138,35.0,2.0,00 20 8A 00 23 00 02 81
2026-02-17 20:34:35.847,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:36.344,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:36.841,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:34:37.339,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:37.854,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:38.365,8,138,42.0,1.0,00 20 8A 00 2A 00 01 81
2026-02-17 20:34:38.862,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:39.359,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:39.859,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:40.357,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:40.857,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:41.355,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:41.870,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:42.355,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:34:42.868,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:43.365,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:43.865,8,138,42.0,1.0,00 20 8A 00 2A 00 01 81
2026-02-17 20:34:44.365,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:44.861,8,138,28.0,1.0,00 20 8A 00 1C 00 01 81
2026-02-17 20:34:45.379,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:34:45.862,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:34:46.362,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:46.861,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:47.375,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:34:47.872,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:48.370,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:48.884,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:49.399,8,138,42.0,1.0,00 20 8A 00 2A 00 01 81
2026-02-17 20:34:49.885,8,138,38.0,1.0,00 20 8A 00 26 00 01 81
2026-02-17 20:34:50.384,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:50.884,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:34:51.382,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:51.878,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:52.379,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:52.894,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:34:53.392,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:53.893,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:34:54.377,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:34:54.892,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
